renewal,Renewal
account-number-correction-charge,Account Number Correction Charge
dividend,Dividend
activation-of-carnet,Activation of Carnet
overpayment,Overpayment
suspense,Suspense
balance-forward,Balance Forward
dividend-interest,Dividend Interest
add-on-destination,Add on - Destination
loan-interest,Loan Interest
premium-waiver,Premium Waiver
add-on-origin,Add on - Origin
dividend-adjustment,Dividend Adjustment
interest,Interest
address-correction,Address Correction
advance-destination-amount,Advance Destination Amount
integrated-business-services-ibs-service-charge,Integrated Business Services (IBS) Service Charge
special-packaging,Special Packaging
box-liners,Box Liners
product-personalization,Product Personalization
advance-destination-fee,Advance Destination Fee
tape-charges,Tape Charges
subject-to-tax,Subject to Tax
advance-origin-amount,Advance Origin Amount
advance-origin-fee,Advance Origin Fee
advance-fee,Advance Fee
agent-disbursement-destination,Agent Disbursement - Destination
agent-disbursement-fee-destination,Agent Disbursement Fee - Destination
agent-disbursement-origin,Agent Disbursement - Origin
agent-disbursement-fee-origin,Agent Disbursement Fee - Origin
air-export-certificate,Air Export Certificate
air-express-charge,Air Express Charge
air-transportation-charge,Air Transportation Charge
airline-opening-fee,Airline Opening Fee
airport-tax-destination,Airport Tax - Destination
airport-tax-origin,Airport Tax - Origin
airport-terminal-handling-charge,Airport Terminal Handling Charge
acknowledgement-of-delivery-fee-aod,Acknowledgement of Delivery Fee (AOD)
amending-export-documentation,Amending Export Documentation
assembly-fee,Assembly Fee
banking-drafts,Banking Drafts
cables-sending-of,Cables (sending of)
call-tag,Call Tag
canadian-c-q-customs-clearance,Canadian C.Q.Customs Clearance
canadian-currency-exchange,Canadian Currency Exchange
canadian-import-termination-fee,Canadian Import Termination Fee
canadian-reconsignment-fee,Canadian Reconsignment Fee
canadian-remanifest-fee,Canadian Remanifest Fee
certificate-of-origin,Certificate of Origin
certificate-of-registration,Certificate of Registration
chamber-of-commerce-service-charge,Chamber of Commerce Service Charge
change-of-airbill-service-fee,Change of Airbill - Service Fee
chemical-milling-charge,Chemical Milling Charge
city-terminal-charge,City Terminal Charge
collect-surcharge,Collect Surcharge
constant-surveillance-service,Constant Surveillance Service
consular-legalization-service,Consular Legalization Service
consularization-fee,Consularization Fee
constant-surveillance-service-armed,Constant Surveillance Service - Armed
credit,Credit
customer-account-identification,Customer Account Identification
customs-broker-fee,Customs Broker Fee
customs-invoice,Customs Invoice
customs-invoice-additional-page,Customs Invoice - Additional Page
data-drawing-charge,Data/Drawing Charge
delivery-surcharge,Delivery Surcharge
development-charge,Development Charge
discount-drop-box-convenience-ctr,Discount - Drop Box/Convenience Ctr.
discount-incentive,Discount - Incentive
discount-multiple-shipment,Discount - Multiple Shipment
discount-service-option-delivery,Discount - Service Option (Delivery)
discount-service-option-pickup,Discount - Service Option (Pickup)
discount-special,Discount - Special
contingency-credit-charge,Contingency Credit Charge
distribution-fee,Distribution Fee
dry-ice,Dry Ice
duty-charge,Duty Charge
endorsement-fee,Endorsement Fee
eur1-presentation-fee,Eur1 Presentation Fee
excise-tax-destination,Excise Tax - Destination
excise-tax-origin,Excise Tax - Origin
expedited-one-day-consular-service,Expedited One Day Consular Service
expedited-shipments,Expedited Shipments
extra-copies-and-mailings,Extra Copies and Mailings
export-customs-clearance,Export Customs Clearance
export-declarations-automated,Export Declarations - Automated
export-declarations-u-s-shippers,Export Declarations - U.S. Shippers
export-license-application,Export License Application
extra-service-counter-to-counter,Extra Service - Counter-to-Counter
facsimile-charges,Facsimile Charges
facsimile-charges-additional-pages,Facsimile Charges - Additional Pages
failed-lamp-panel-charge,Failed Lamp Panel Charge
first-article-charge,First Article Charge
free-domicile-shipment-processing,Free Domicile Shipment Processing
freight,Freight
fuel-surcharge,Fuel Surcharge
government-warehouse-fee-destination,Government Warehouse Fee - Destination
government-warehouse-fee-origin,Government Warehouse Fee - Origin
grain-flow-charge,Grain Flow Charge
hazardous-materials-handling-fee-domestic,Hazardous Materials Handling Fee - Domestic
hazardous-materials-handling-fee-international,Hazardous Materials Handling Fee - International
heat-treat-charge,Heat Treat Charge
iata-airbill-preparation,IATA Airbill Preparation
iata-fee,IATA Fee
import-service-fee,Import Service Fee
insurance-fee,Insurance Fee
inland-transportation,Inland Transportation
insurance-premium,Insurance Premium
international-door-to-door-handling-fee,International Door-to-Door Handling Fee
incorrect-billing-account-charge,Incorrect Billing Account Charge
italian-release-charge,Italian Release Charge
letter-of-credit-processing,Letter of Credit Processing
mailing-postage-cost,Mailing - Postage Cost
mailing-service-fee,Mailing - Service Fee
messenger-service,Messenger Service
minimum-air-transportation-charge,Minimum Air Transportation Charge
miscellaneous-destination,Miscellaneous - Destination
miscellaneous-origin,Miscellaneous - Origin
missing-account-nbr-charge,Missing Account NBR Charge
offshore-alaska-hawaii,Offshore - Alaska/Hawaii
on-hand-service,On Hand Service
oversized-premium,Oversized Premium
passing-shippers-export-entry,Passing Shippers Export Entry
pickup-out-of-area,Pickup - Out of Area
pickup-surcharge,Pickup Surcharge
pre-positioned-inventory-service,Pre-Positioned Inventory Service
preparation-of-air-waybill-origin,Preparation of Air Waybill - Origin
preparation-of-canadian-customs-invoice,Preparation of Canadian Customs Invoice
preparation-of-commercial-invoice,Preparation of Commercial Invoice
preparation-of-export-entry,Preparation of Export Entry
preparation-of-insurance-certificate,Preparation of Insurance Certificate
priority-service,Priority Service
preparation-of-u-s-export-documentation,Preparation of U.S. Export Documentation
processing-charge,Processing Charge
rebilled-drayage-destination,Rebilled Drayage - Destination
re-bill-charge,Re-Bill Charge
proforma-invoice,Proforma Invoice
recipient-address-correction,Recipient Address Correction
rebilled-drayage-origin,Rebilled Drayage - Origin
record-filing,Record/Filing
recovery-fee,Recovery Fee
recrating-recoopering-destination,Recrating/Recoopering - Destination
recrating-recoopering-origin,Recrating/Recoopering - Origin
registration-of-export-shipments,Registration of Export Shipments
registration-of-export-for-reentry,Registration of Export for Reentry
reliability-charge,Reliability Charge
restricted-article-fee,Restricted Article Fee
repickup,Repickup
saturday-delivery,Saturday Delivery
saturday-pick-up,Saturday Pick-Up
security-signature-service,Security Signature Service
service-upgrade,Service Upgrade
special-delivery,Special Delivery
special-handling-service,Special Handling Service
special-pickup,Special Pickup
special-test-equipment-charge,Special Test Equipment Charge
special-tooling-charge,Special Tooling Charge
special-vehicle-rent,Special Vehicle Rent
stamp-fee,Stamp Fee
straightening-charge,Straightening Charge
telephone-destination,Telephone - Destination
telephone-origin,Telephone - Origin
terminal-service-fee,Terminal Service Fee
test-qualification-charge,Test/Qualification Charge
tooling-rework-charge,Tooling Rework Charge
tracing-inbound-via-other-carriers,Tracing Inbound Via Other Carriers
tracing-service-fee,Tracing Service Fee
transfer-of-lading-charge,Transfer of Lading Charge
valuation-fee,Valuation Fee
value-added-tax-vat,Value Added Tax (VAT)
waybill-and-invoice-distribution,Waybill and Invoice Distribution
written-proof-of-delivery,Written Proof of Delivery
x-ray-charge,X-ray Charge
other-see-related-description,Other (See related description)
advertising-allowance,Advertising Allowance
adjustments,Adjustments
additional-material,Additional Material
allowance-non-performance,Allowance Non-performance
allowance-advance,Allowance Advance
attendants-accompanying,Attendants Accompanying
handling-charge-tax,Handling Charge Tax
alcoholic-beverage-report-charge,Alcoholic Beverage Report Charge
attachments-to-bill-of-lading-charge,Attachments to Bill of Lading Charge
allegheny-county-pa-delivery-charge,"Allegheny County, PA Delivery Charge"
access-charge-federal,Access Charge - Federal
access-charges,Access Charges
actual-labor-charge,Actual Labor Charge
access-charge-state,Access Charge - State
advance-charges-handling,Advance Charges Handling
advance-loading-charge,Advance Loading Charge
advances,Advances
additional-copies-of-freight-bill,Additional Copies of Freight Bill
collect-on-delivery-alteration-charge,Collect on Delivery Alteration Charge
armed-guard-service,Armed Guard Service
additional-injection-blending-service-charge,Additional Injection/Blending Service Charge
air-freight-consolidation,Air Freight - Consolidation
air-freight,Air Freight
advance-lading-charge,Advance Lading Charge
use-of-alternate-port,Use of Alternate Port
adjustment-for-maximum-charges-billing,Adjustment for Maximum Charges Billing
absolute-minimum-charge,Absolute Minimum Charge
adjustment-for-minimum-average-time-requirement-billing,Adjustment for Minimum Average Time Requirement Billing
adjustment-for-minimum-charges-billing,Adjustment for Minimum Charges Billing
anchoring-and-unanchoring,Anchoring and Unanchoring
anodizing-charge,Anodizing Charge
appliance-servicing,Appliance Servicing
appointment-notification,Appointment (Notification)
arbitrary-in-addition-to-through-rates-and-charges,Arbitrary (In Addition to Through Rates and Charges)
air-conditioning-disconnect-and-connect,Air Conditioning Disconnect and Connect
rail-armed-guard-service,Rail Armed Guard Service
air-ride-tractor-service-charge,Air Ride Tractor Service Charge
assembly-charge,Assembly Charge
auxiliary-service,Auxiliary Service
ad-valorem,Ad Valorem
beaming-charge,Beaming Charge
brokerage-or-duty,Brokerage or Duty
buyers-car-allowance,Buyers Car Allowance
bad-debt,Bad Debt
both-flat,Both-Flat
broken-package-charge,Broken Package Charge
base-charge,Base Charge
break-bulk-surface-charge,Break Bulk Surface Charge
bordeaux-arbitraries,Bordeaux Arbitraries
beyond-freight-charges,Beyond Freight Charges
bedding-feeding-disinfecting,Bedding/Feeding/Disinfecting
bulky-article,Bulky Article
bill-of-lading-attendancy,Bill of Lading Attendancy
bill-of-lading-charge,Bill of Lading Charge
billed-demand,Billed Demand
blocking-and-bracing-charge,Blocking and Bracing Charge
blower-charge,Blower Charge
bond-charges,Bond Charges
bobtail-charges,Bobtail Charges
bop-sheet-charge,Bop Sheet Charge
basic-reorder-allowance,Basic Reorder Allowance
bridge-toll,Bridge Toll
aqua-train,Aqua Train
bunker-surcharge,Bunker Surcharge
broker-selection-surcharge,Broker Selection Surcharge
bi-level-tri-level-charges,"Bi-level, Tri-level Charges"
bunker-adjustment-20-foot-container,Bunker Adjustment - 20 Foot Container
bunker-adjustment-40-foot-container,Bunker Adjustment - 40 Foot Container
bunker-adjustment,Bunker Adjustment
bureau-report-charge,Bureau Report Charge
beyond-charge,Beyond Charge
currency-adjustment-break-bulk,Currency Adjustment - Break Bulk
currency-adjustment-20-foot-container,Currency Adjustment - 20 Foot Container
currency-adjustment-40-foot-container,Currency Adjustment - 40 Foot Container
cancellation-charge,Cancellation Charge
cash-discount,Cash Discount
certification-fee,Certification Fee
co-manufacturing-discount,Co-manufacturing Discount
competitive-allowance,Competitive Allowance
competitive-car-allowance,Competitive Car Allowance
compressor-charge,Compressor Charge
crafting,Crafting
customer-equipment-allowance,Customer Equipment Allowance
cutting-charge,Cutting Charge
co-op-credit,Co-op Credit
car-loading,Car Loading
contract-escalation,Contract Escalation
car-rental,Car Rental
container-deposits,Container Deposits
contract-allowance,Contract Allowance
cooperative-advertising-merchandising-allowance-performance,Cooperative Advertising/Merchandising Allowance (Performance)
claims-commercial-auto-report-charge,Claims Commercial Auto Report Charge
copy-of-bill-of-lading-charge,Copy of Bill of Lading Charge
cents-off,Cents Off
competitive-price,Competitive Price
carrier,Carrier
container-allowance,Container Allowance
city-sales-tax-only,City Sales Tax (Only)
carrier-credit-allowance,Carrier Credit Allowance
certification-charge,Certification Charge
claims-commercial-property-report-charge,Claims Commercial Property Report Charge
concession-credit,Concession Credit
carrier-caboose-charge,Carrier Caboose Charge
carrier-debit-allowance,Carrier Debit Allowance
corrosion-additive-service-charge,Corrosion Additive Service Charge
cancelled-order-heavy-duty-flatcar,"Cancelled Order, Heavy Duty Flatcar"
copy-of-delivery-receipt-charge,Copy of Delivery Receipt Charge
container-service-charge-uk-eur,Container Service Charge UK/EUR
customs-fees-container-level,Customs Fees - Container Level
customs-fees-lift-level,Customs Fees - Lift Level
carrier-guard-car-charge,Carrier Guard Car Charge
canada-great-lakes-additionals,Canada Great Lakes Additionals
return-carrier-guard-car-charge,Return Carrier Guard Car Charge
cargo-taxes,Cargo Taxes
chassis-equipment-lease-charge,Chassis Equipment Lease Charge
charges-forward-advance-charge,Charges Forward/Advance Charge
chain-and-binders,Chain and Binders
special-circus-trains,Special Circus Trains
constant-surveillance,Constant Surveillance
chicago-loop-charge,Chicago Loop Charge
container-loss-damage,Container Loss/Damage
cleaning-charge,Cleaning Charge
container-leasing,Container Leasing
concession-money,Concession Money
city-maintenance-fee,City maintenance fee
continuous-mileage,Continuous Mileage
camp-arbitrary,Camp Arbitrary
consolidation,Consolidation
converting,Converting
commission-amount,Commission Amount
connect-charge,Connect Charge
cod-amount,COD Amount
ocean-freight,Ocean Freight
fee-for-collecting-cod-charge,Fee for Collecting COD Charge
combination,Combination
congestion-surcharge,Congestion Surcharge
port-changes,Port Changes
core-charge,Core Charge
consignee-unload,Consignee Unload
claims-personal-auto-report-charge,Claims Personal Auto Report Charge
copilot-service-charge,Copilot Service Charge
computer-processing-expense,Computer Processing Expense
claims-personal-property-report-charge,Claims Personal Property Report Charge
cost-recovery-adjustment,Cost recovery/adjustment
cost-recovery-factor,Cost Recovery Factor
court-reporter-charge,Court Reporter Charge
credit-report-charge,Credit Report Charge
courier-services,Courier Services
closing-and-sealing,Closing & Sealing
contract-service-charge,Contract Service Charge
customs-entry,Customs Entry
customs-formalities,Customs Formalities
government-caboose-charge,Government Caboose Charge
conservation-research-fee,Conservation research fee
cassette,Cassette
container-trailer-allowance,Container/Trailer Allowance
container-service-charge-usa-canada,Container Service Charge USA/Canada
customer-required-special-truck-at-destination,Customer Required Special Truck at Destination
court-or-trial-expense,Court or Trial Expense
chassis-transfer,Chassis Transfer
cartage-charge,Cartage Charge
controlled-atmosphere,Controlled Atmosphere
customer-required-special-truck-at-origin,Customer Required Special Truck at Origin
circuitous-routing-charge,Circuitous Routing Charge
customs-exams-intensive-tailgate,"Customs Exams (Intensive, Tailgate)"
currency-adjustment,Currency Adjustment
currency-discount,Currency Discount
currency-adjustment-factor,Currency Adjustment Factor
customer-paid-deductible,Customer Paid Deductible
customs-charge,Customs Charge
deficit-freight,Deficit Freight
deposit,Deposit
distributor-discount-allowance,Distributor Discount/Allowance
drum-up-charge,Drum Up Charge
damaged-merchandise,Damaged Merchandise
dockage-boat-detention,Dockage - Boat Detention
double-wide-separate-and-reassemble,Double Wide Separate and Reassemble
delivery-of-fuel-from-barge-to-pipeline-charge,Delivery of Fuel from Barge to Pipeline Charge
damage-to-carrier-equipment,Damage to Carrier Equipment
disconnect-charge,Disconnect charge
city-delivery,City Delivery
damage-to-carrier-vessel,Damage to Carrier Vessel
defective-allowance,Defective Allowance
drum-cost,Drum Cost
drum-deposit,Drum Deposit
dowel-pin-charge,Dowel Pin Charge
dual-driver-with-national-agency-check,Dual Driver with National Agency Check
dual-driver-protectice-service,Dual Driver Protectice Service
deaf-and-disabled-surcharge,Deaf and Disabled Surcharge
drayage-at-port-of-debarkation-zone-rate,Drayage at Port of Debarkation (Zone Rate)
demurrage-average-agreement,Demurrage - Average Agreement
deductible,Deductible
delivery-charge,Delivery Charge
demurrage,Demurrage
