x-ray-charge,en,X-ray Charge
written-proof-of-delivery,en,Written Proof of Delivery
will-call-charge,en,Will Call Charge
wide-area-telephone-service-wats-usage-credit,en,Wide Area Telephone Service (WATS) Usage Credit
wharfage-container,en,Wharfage - Container
wharfage-charge,en,Wharfage Charge
wharfage-breakbulk,en,Wharfage - Breakbulk
wharfage-and-handling,en,Wharfage & Handling
wharfage,en,Wharfage
weight-verification-charge,en,Weight Verification Charge
weighing-charge-intermodal,en,Weighing Charge (Intermodal)
weather-protection,en,Weather Protection
waybill-and-invoice-distribution,en,Waybill and Invoice Distribution
waterfront-delivery-charge,en,Waterfront Delivery Charge
wasted-futile-trip,en,Wasted/Futile Trip
warehouse-charge,en,Warehouse Charge
warehouse-allowance,en,Warehouse Allowance
war-risk-surcharge,en,War Risk Surcharge
war-risk-insurance,en,War Risk Insurance
war-risk-crew-bonus,en,War Risk Crew Bonus
waiting-time-service-charge,en,Waiting Time Service Charge
waiting-time,en,Waiting Time
voluntary-contribution-charge,en,Voluntary contribution charge
volume-discount,en,Volume Discount
virgin-island-transfer-charge,en,Virgin Island Transfer Charge
venting-instructions,en,Venting Instructions
vendor-freight,en,Vendor Freight
vehicles-inoperable,en,Vehicles Inoperable
vehicles-in-truckway,en,Vehicles in Truckway
vehicles-furnished-but-not-used,en,Vehicles Furnished But Not Used
vehicle-prep-charge-courtesy-delivery,en,Vehicle Prep Charge (courtesy delivery)
vehicle-ordered-but-not-used,en,Vehicle Ordered but Not Used
vehicle-load-allowance,en,Vehicle Load Allowance
van-cleaning,en,Van Cleaning
value-added-tax-vat,en,Value Added Tax (VAT)
valuation-fee,en,Valuation Fee
utilities-disconnect-and-connect,en,Utilities Disconnect and Connect
use-tax,en,Use Tax
use-special-type-flat-car,en,Use - Special Type Flat Car
use-of-alternate-port,en,Use of Alternate Port
use-charge-tooling-personnel,en,Use charge tooling/personnel
usage-plan-detail-charge,en,Usage Plan Detail Charge
up-charge,en,Up Charge
unsalable-merchandise-allowance,en,Unsalable Merchandise Allowance
unpacking,en,Unpacking
unloading-reloading-charge,en,Unloading/Reloading Charge
unloading-labor-charges,en,Unloading (Labor Charges)
unloading-allowance,en,Unloading Allowance
unloading,en,Unloading
unknown,en,Unknown
under-carriage-furnished-by-carrier-charge,en,Under Carriage Furnished By Carrier Charge
unabsorbed-switching,en,Unabsorbed Switching
u-s-vehicles,en,U.S. Vehicles
two-door-pick-up,en,Two Door Pick Up
turning-charge,en,Turning Charge
truckload-discount,en,Truckload Discount
truck-detention,en,Truck Detention
trimming-charge,en,Trimming Charge
travel-expense,en,Travel Expense
travel-charge,en,Travel Charge
transportation-vendor-provided,en,Transportation - Vendor Provided
transportation-third-party-billing,en,Transportation - Third Party Billing
transportation-direct-billing,en,Transportation-Direct Billing
transportation-charge-minimum-rate,en,Transportation Charge (Minimum Rate)
transportation-and-setup,en,Transportation and Setup
transit,en,Transit
transferred-charges,en,Transferred Charges
transfer-of-lading-charge,en,Transfer of Lading Charge
transfer-charge,en,Transfer Charge
trailer-rental-charge,en,Trailer Rental Charge
trade-in,en,Trade In
trade-discount,en,Trade Discount
track-storage,en,Track Storage
tracing-service-fee,en,Tracing Service Fee
tracing-inbound-via-other-carriers,en,Tracing Inbound Via Other Carriers
total-assessorial-charges,en,Total Assessorial Charges
tooling-rework-charge,en,Tooling Rework Charge
tool-charge,en,Tool Charge
tofc-service-charge,en,TOFC Service Charge
tobacco-products-report-charge,en,Tobacco Products Report Charge
tire-repair-and-replace,en,Tire Repair and Replace
thruway-charge,en,Thruway Charge
throughput-container-charge,en,Throughput Container Charge
throughput-allowance,en,Throughput Allowance
third-party-service,en,Third-Party Service
third-party-allowance,en,Third Party Allowance
texas-rail-commission-fixed-charge,en,Texas Rail Commission Fixed Charge
texas-rail-commission-deviation-charge,en,Texas Rail Commission Deviation Charge
testing-services-charge,en,Testing Services Charge
testing-charge,en,Testing Charge
testing-allowance,en,Testing Allowance
test-qualification-charge,en,Test/Qualification Charge
termination,en,Termination
terminal-service-fee,en,Terminal Service Fee
terminal-differential,en,Terminal Differential
terminal-charge,en,Terminal Charge
tendering-of-multiple-vehicles,en,Tendering of Multiple Vehicles
temporary-voluntary-allowance,en,Temporary Voluntary Allowance
temporary-allowance,en,Temporary Allowance
telephone-origin,en,Telephone - Origin
telephone-destination,en,Telephone - Destination
telephone-charge,en,Telephone Charge
telegram-chargeback,en,Telegram Chargeback
tax-on-transportation,en,Tax on Transportation
tax-on-miscellaneous-charges,en,Tax on Miscellaneous Charges
tax-charge,en,Tax Charge
tarping-charge,en,Tarping Charge
tape-charges,en,Tape Charges
tank-surveillance-service,en,Tank Surveillance Service
tank-rental,en,Tank Rental
tank-car-allowance,en,Tank Car Allowance
switching-charge,en,Switching Charge
suspense,en,Suspense
surveying-routes,en,Surveying Routes
surcharge-percentage,en,Surcharge (Percentage)
surcharge-dollar-value,en,Surcharge (Dollar Value)
surcharge,en,Surcharge
supervisor-charge,en,Supervisor Charge
super-fund-excise-tax,en,Super Fund Excise Tax
super-bag-charge,en,Super Bag Charge
sunday-or-holiday-pick-up-or-delivery,en,Sunday or Holiday Pick-up or Delivery
sufferance-warehouse-charge-export-or-import,en,Sufferance Warehouse Charge (Export or Import)
sublet,en,Sublet
subject-to-tax,en,Subject to Tax
subject-to-cooperative-advertising-allowance,en,Subject to Cooperative Advertising Allowance
stuffing-charge,en,Stuffing Charge
stripping-sorting-and-consolidation,en,"Stripping,en, Sorting,en, and Consolidation"
street-lamps-charge,en,Street lamps charge
straightening-charge,en,Straightening Charge
stowage-charge,en,Stowage Charge
storage-of-vehicles,en,Storage of Vehicles
storage-in-transit,en,Storage in Transit
storage,en,Storage
stopping-in-transit,en,Stopping in Transit
stopoff-at-orgination,en,Stopoff at Orgination
stopoff-at-destination,en,Stopoff at Destination
stopcharge,en,Stopcharge
stop-offs-for-privately-owned-vehicle-shipment-charge,en,Stop-offs for Privately Owned Vehicle Shipment Charge
stop-off-delivery-of-personal-vehicles-charge,en,Stop Off Delivery of Personal Vehicles Charge
stop-off-charge,en,Stop-off Charge
stop-off-at-pier-charge,en,Stop-off at Pier Charge
stenciling-charge,en,Stenciling Charge
steaming-charge,en,Steaming Charge
state-tax,en,State Tax
state-surcharge,en,State Surcharge
state-sales-charge,en,State Sales Charge
state-motor-fuel,en,State Motor Fuel
state-metropolitan-transit-authority-surcharge,en,State/Metropolitan Transit Authority Surcharge
state-hazardous-substance-tax,en,State Hazardous Substance Tax
standby-charge,en,Standby Charge
standard-labor-charge,en,Standard Labor Charge
stamp-fee,en,Stamp Fee
stairs-elevator-excess-carry,en,"Stairs,en, Elevator,en, Excess Carry"
spreader-charge,en,Spreader Charge
spotting-of-trailer,en,Spotting of Trailer
spool-charge,en,Spool Charge
split-pick-up-at-pier-charge,en,Split Pick-Up at Pier Charge
split-pick-up,en,Split Pick-up
split-delivery,en,Split Delivery
special-vehicle-rent,en,Special Vehicle Rent
special-use,en,Special Use
special-train-movement,en,Special Train Movement
special-tooling-rework-charge,en,Special tooling rework charge
special-tooling-charge,en,Special Tooling Charge
special-test-equipment-charge,en,Special Test Equipment Charge
special-seal-charge,en,Special Seal Charge
special-pump-charge,en,Special Pump Charge
special-pickup,en,Special Pickup
special-permits,en,Special Permits
special-packaging,en,Special Packaging
special-motor-surveillance-charge,en,Special Motor Surveillance Charge
special-mileage-movements,en,Special Mileage Movements
special-handling-service,en,Special Handling Service
special-freight-supplements,en,Special Freight Supplements
special-finish-charge,en,Special Finish Charge
special-equipment-charge,en,Special Equipment Charge
special-dromedary-service,en,Special Dromedary Service
special-detention-charge,en,Special Detention Charge
special-delivery,en,Special Delivery
special-credit,en,Special Credit
special-containers,en,Special Containers
special-circus-trains,en,Special Circus Trains
special-buy,en,Special Buy
special-allowance,en,Special Allowance
software-support-service,en,Software Support Service
small-order-charge,en,Small Order Charge
slip-sheet-charge,en,Slip Sheet Charge
skirting-and-unskirting,en,Skirting and Unskirting
single-shipment-fee,en,Single Shipment Fee
single-pick-up,en,Single Pick-up
single-invoice-allowance,en,Single Invoice Allowance
single-factor-port-of-embarkation-destination,en,Single Factor Port of Embarkation/Destination
single-factor-origination-destination,en,Single Factor Origination/Destination
single-factor-orginiation-port-of-debarkation,en,Single Factor Orginiation/Port of Debarkation
shrink-wrap-charge,en,Shrink-Wrap Charge
shipside-pickup,en,Shipside Pickup
